,x_ego,y_ego,v_ego,a_ego,yaw_ego,width_ego,length_ego,x_1,y_1,v_1,a_1,yaw_1,width_1,length_1,x_2,y_2,v_2,a_2,yaw_2,width_2,length_2,x_3,y_3,v_3,a_3,yaw_3,width_3,length_3,x_4,y_4,v_4,a_4,yaw_4,width_4,length_4,x_5,y_5,v_5,a_5,yaw_5,width_5,length_5,x_6,y_6,v_6,a_6,yaw_6,width_6,length_6,end
0.6,27.41281713137434,-3.619999999999999,29.41955265486527,-1.5216694860447317,0.0,2.02,5.36,125.0,-6.95,32.01,-0.25,6.252,1.92,4.24,81.1,-8.03,23.0,6.25,0.0,2.5,16.67,98.29,-3.65,37.0,12.5,6.276,2.02,5.05,56.96,-3.74,31.0,6.25,0.008,2.22,5.46,37.0,-7.84,22.0,12.5,0.0,2.5,11.52,8.44,-3.95,31.49,0.0,0.0,1.82,4.04,-1
0.64,28.58959923756895,-3.619999999999999,29.36332369916986,-1.4057238923852802,0.0,2.02,5.36,126.28,-6.99,32.02,0.25,6.252,1.92,4.24,82.03,-8.03,23.0,0.0,0.011,2.5,16.67,99.76,-3.66,36.75,-6.25,0.0,2.02,5.05,58.2,-3.73,31.0,0.0,0.0,2.22,5.46,37.87,-7.84,21.75,-6.25,0.0,2.5,11.52,9.61,-3.95,29.25,-56.0,0.0,1.82,4.04,-1
0.68,29.764132185535747,-3.619999999999999,29.32423862828131,-0.9771267722137612,0.0,2.02,5.36,127.55,-7.03,31.77,-6.25,6.26,1.92,4.24,82.94,-8.02,23.0,0.0,0.011,2.5,16.67,101.23,-3.66,36.75,0.0,6.277,2.02,5.05,59.45,-3.73,31.25,6.25,0.0,2.22,5.46,38.76,-7.84,22.25,12.5,0.011,2.5,11.52,10.81,-3.95,30.0,18.75,0.0,1.82,4.04,-1
0.7200000000000001,30.937101730667,-3.619999999999999,29.28810486745445,-0.9033440206714907,0.0,2.02,5.36,128.83,-7.06,32.01,6.0,6.252,1.92,4.24,83.87,-8.01,23.0,0.0,0.0,2.5,16.67,102.73,-3.67,37.5,18.75,0.0,2.02,5.05,60.7,-3.73,31.25,0.0,0.0,2.22,5.46,39.64,-7.83,22.0,-6.25,0.0,2.5,11.52,12.04,-3.95,30.75,18.75,0.0,1.82,4.04,-1
0.7600000000000001,32.108625925365175,-3.619999999999999,29.242256403296718,-1.146211603943288,0.0,2.02,5.36,130.1,-7.1,31.77,-6.0,6.26,1.92,4.24,84.78,-8.01,23.0,0.0,0.011,2.5,16.67,104.21,-3.67,37.0,-12.5,6.276,2.02,5.05,61.94,-3.73,31.0,-6.25,0.008,2.22,5.46,40.5,-7.83,21.5,-12.5,0.012,2.5,11.52,13.27,-3.95,30.75,0.0,0.0,1.82,4.04,-1
0.8000000000000002,33.27831618149705,-3.619999999999999,29.2120150798496,-0.7560330861779272,0.0,2.02,5.36,131.37,-7.13,31.76,-0.25,6.26,1.92,4.24,85.69,-8.0,22.75,-6.25,0.011,2.5,16.67,105.69,-3.68,37.0,0.0,0.0,2.02,5.05,63.19,-3.72,31.25,6.25,0.0,2.22,5.46,41.34,-7.82,21.0,-12.5,0.0,2.5,11.52,14.51,-3.95,31.0,6.25,0.0,1.82,4.04,-1
0.8400000000000002,34.44679678469103,-3.619999999999999,29.17207486639916,-0.9985053362610221,0.0,2.02,5.36,132.64,-7.16,31.76,0.0,6.252,1.92,4.24,86.62,-7.99,23.0,6.25,0.0,2.5,16.67,107.17,-3.68,37.0,0.0,0.0,2.02,5.05,64.43,-3.72,31.0,-6.25,0.0,2.22,5.46,42.2,-7.82,21.5,12.5,0.012,2.5,11.52,15.75,-3.95,31.0,0.0,0.0,1.82,4.04,-1
0.8800000000000002,35.613679779346995,-3.619999999999999,29.15793212784473,-0.35356846386072166,0.0,2.02,5.36,133.92,-7.2,32.02,6.5,6.26,1.92,4.24,87.54,-7.99,23.25,6.25,0.011,2.5,16.67,108.67,-3.68,37.5,12.5,6.277,2.02,5.05,65.69,-3.72,31.5,12.5,0.008,2.22,5.46,43.05,-7.81,21.25,-6.25,0.0,2.5,11.52,17.0,-3.95,31.25,6.25,0.0,1.82,4.04,-1
0.9200000000000003,36.77999706446079,-3.619999999999999,29.134170870409225,-0.5940314358876954,0.0,2.02,5.36,135.19,-7.23,31.76,-6.5,6.26,1.92,4.24,88.47,-7.98,23.0,-6.25,0.011,2.5,16.67,110.17,-3.69,37.5,0.0,0.0,2.02,5.05,66.94,-3.71,31.25,-6.25,0.0,2.22,5.46,43.91,-7.81,21.5,6.25,0.012,2.5,11.52,18.26,-3.95,31.5,6.25,0.0,1.82,4.04,-1
0.9600000000000003,37.945363899277154,-3.619999999999999,29.112273108061355,-0.5474440586967493,0.0,2.02,5.36,136.48,-7.26,32.26,12.5,6.26,1.92,4.24,89.4,-7.97,23.25,6.25,0.0,2.5,16.67,111.67,-3.69,37.5,0.0,6.277,2.02,5.05,68.19,-3.71,31.25,0.0,0.008,2.22,5.46,44.77,-7.8,21.5,0.0,0.0,2.5,11.52,19.53,-3.95,31.75,6.25,0.0,1.82,4.04,-1
1.0000000000000002,39.10985482359961,-3.619999999999999,29.080789234317646,-0.7870968435927471,0.0,2.02,5.36,137.76,-7.29,32.01,-6.25,6.252,1.92,4.24,90.32,-7.97,23.25,0.0,0.011,2.5,16.67,113.17,-3.7,37.5,0.0,0.0,2.02,5.05,69.43,-3.7,31.0,-6.25,0.0,2.22,5.46,45.62,-7.8,21.25,-6.25,0.012,2.5,11.52,20.8,-3.95,31.75,0.0,0.0,1.82,4.04,-1
1.0400000000000003,40.27308639297232,-3.619999999999999,29.051634251730952,-0.7288745646673469,0.0,2.02,5.36,139.03,-7.33,31.77,-6.0,6.26,1.92,4.24,91.25,-7.96,23.0,-6.25,0.011,2.5,16.67,114.65,-3.7,37.0,-12.5,6.276,2.02,5.05,70.67,-3.7,31.0,0.0,0.008,2.22,5.46,46.47,-7.79,21.25,0.0,0.0,2.5,11.52,22.07,-3.95,31.75,0.0,0.0,1.82,4.04,-1
1.0800000000000003,41.43515176304155,-3.619999999999999,29.02464762686372,-0.6746656216807454,0.0,2.02,5.36,140.3,-7.36,31.76,-0.25,6.267,1.92,4.24,92.15,-7.95,22.5,-12.5,0.0,2.5,16.67,116.14,-3.71,37.25,6.25,0.0,2.02,5.05,71.91,-3.69,31.0,0.0,0.0,2.22,5.46,47.32,-7.79,21.25,0.0,0.012,2.5,11.52,23.33,-3.95,31.5,-6.25,0.0,1.82,4.04,-1
1.1200000000000003,42.5961376681161,-3.619999999999999,28.99968259911067,-0.6241256938262725,0.0,2.02,5.36,141.57,-7.38,31.75,-0.25,6.26,1.92,4.24,93.06,-7.95,23.0,12.5,0.011,2.5,16.67,117.62,-3.71,37.25,0.0,0.0,2.02,5.05,73.15,-3.69,31.0,0.0,0.008,2.22,5.46,48.18,-7.78,21.5,6.25,0.012,2.5,11.52,24.61,-3.95,32.0,12.5,0.0,1.82,4.04,-1
1.1600000000000004,43.75612497208053,-3.619999999999999,28.97660471908071,-0.5769470007490061,0.0,2.02,5.36,142.84,-7.41,31.76,0.25,6.259,1.92,4.24,93.99,-7.94,23.0,0.0,0.0,2.5,16.67,119.16,-3.71,38.25,25.0,6.277,2.02,5.05,74.39,-3.68,31.0,0.0,0.0,2.22,5.46,49.04,-7.77,21.5,0.0,0.0,2.5,11.52,25.88,-3.95,31.75,-6.25,0.0,1.82,4.04,-1
1.2000000000000004,44.91518916084376,-3.619999999999999,28.955290571985746,-0.5328536773741638,0.0,2.02,5.36,144.1,-7.44,31.51,-6.25,6.26,1.92,4.24,94.9,-7.94,22.75,-6.25,0.011,2.5,16.67,120.68,-3.72,38.0,-6.25,0.0,2.02,5.05,75.63,-3.68,31.0,0.0,0.0,2.22,5.46,49.91,-7.77,21.75,6.25,0.011,2.5,11.52,27.15,-3.95,31.75,0.0,0.0,1.82,4.04,-1
1.2400000000000004,46.07340078372319,-3.619999999999999,28.935626658967827,-0.4915978254479998,0.0,2.02,5.36,145.37,-7.47,31.76,6.25,6.267,1.92,4.24,95.81,-7.93,23.0,6.25,0.0,2.5,16.67,122.21,-3.72,38.25,6.25,6.277,2.02,5.05,76.87,-3.68,31.0,0.0,0.008,2.22,5.46,50.8,-7.76,22.25,12.5,0.011,2.5,11.52,28.42,-3.95,31.75,0.0,0.0,1.82,4.04,-1
1.2800000000000005,47.2308258500819,-3.619999999999999,28.91750841377025,-0.4529561299394389,0.0,2.02,5.36,146.64,-7.49,31.75,-0.25,6.26,1.92,4.24,96.72,-7.93,22.5,-12.5,0.011,2.5,16.67,123.73,-3.73,38.0,-6.25,0.0,2.02,5.05,78.11,-3.67,31.0,0.0,0.0,2.22,5.46,51.69,-7.75,22.25,0.0,0.0,2.5,11.52,29.68,-3.95,31.5,-6.25,0.0,1.82,4.04,-1
1.3200000000000005,48.38752618663271,-3.619999999999999,28.910946592094714,-0.1640455418883861,0.0,2.02,5.36,147.91,-7.52,31.76,0.25,6.267,1.92,4.24,97.63,-7.92,23.0,12.5,0.011,2.5,16.67,125.26,-3.73,38.25,6.25,6.277,2.02,5.05,79.36,-3.67,31.25,6.25,0.008,2.22,5.46,52.57,-7.75,22.0,-6.25,0.011,2.5,11.52,30.95,-3.95,31.75,6.25,0.0,1.82,4.04,-1
1.3600000000000005,49.543964050316504,-3.619999999999999,28.905208585332517,-0.14345016905491115,0.0,2.02,5.36,149.18,-7.54,31.75,-0.25,6.26,1.92,4.24,98.56,-7.91,23.0,0.0,0.0,2.5,16.67,126.79,-3.74,38.25,0.0,0.0,2.02,5.05,80.61,-3.66,31.25,0.0,0.0,2.22,5.46,53.45,-7.74,22.0,0.0,0.0,2.5,11.52,32.21,-3.95,31.5,-6.25,0.0,1.82,4.04,-1
1.4000000000000006,50.7001723937298,-3.619999999999999,28.900247362490013,-0.12403057106254903,0.0,2.02,5.36,150.45,-7.57,31.76,0.25,6.267,1.92,4.24,99.47,-7.91,22.75,-6.25,0.0,2.5,16.67,128.31,-3.74,38.0,-6.25,6.277,2.02,5.05,81.86,-3.66,31.25,0.0,0.008,2.22,5.46,54.33,-7.74,22.0,0.0,0.011,2.5,11.52,33.47,-3.95,31.5,0.0,0.0,1.82,4.04,-1
1.4400000000000006,51.8561822882294,-3.619999999999999,28.886187466596034,-0.35149739734950414,0.0,2.02,5.36,151.71,-7.59,31.5,-6.5,6.267,1.92,4.24,100.38,-7.91,23.0,6.25,0.011,2.5,16.67,129.84,-3.75,38.25,6.25,0.0,2.02,5.05,83.1,-3.65,31.0,-6.25,0.0,2.22,5.46,55.2,-7.73,21.75,-6.25,0.011,2.5,11.52,34.73,-3.95,31.5,0.0,0.0,1.82,4.04,-1
1.4800000000000006,53.01162978689324,-3.619999999999999,28.883043523912402,-0.07859856709078057,0.0,2.02,5.36,152.96,-7.61,31.25,-6.25,6.26,1.92,4.24,101.31,-7.9,23.0,0.0,0.0,2.5,16.67,131.37,-3.75,38.25,0.0,6.277,2.02,5.05,84.35,-3.65,31.25,6.25,0.0,2.22,5.46,56.07,-7.72,21.75,0.0,0.0,2.5,11.52,35.99,-3.95,31.5,0.0,0.0,1.82,4.04,-1
1.5200000000000007,54.16695152784973,-3.619999999999999,28.870893306378665,-0.30375543834341856,0.0,2.02,5.36,154.25,-7.64,32.26,25.25,6.268,1.92,4.24,102.22,-7.9,23.0,0.0,0.0,2.5,16.67,132.9,-3.76,38.25,0.0,0.0,2.02,5.05,85.59,-3.65,31.0,-6.25,0.008,2.22,5.46,56.94,-7.72,21.75,0.0,0.012,2.5,11.52,37.24,-3.95,31.25,-6.25,0.0,1.82,4.04,-1
1.5600000000000007,55.32178726010488,-3.619999999999999,28.859822174739573,-0.2767782909772723,0.0,2.02,5.36,155.53,-7.66,32.0,-6.5,6.267,1.92,4.24,103.15,-7.9,23.0,0.0,0.011,2.5,16.67,134.43,-3.76,38.25,0.0,6.277,2.02,5.05,86.83,-3.64,31.0,0.0,0.0,2.22,5.46,57.79,-7.71,21.25,-12.5,0.011,2.5,11.52,38.5,-3.95,31.5,6.25,0.0,1.82,4.04,-1
1.6000000000000008,56.47618014709446,-3.619999999999999,28.859209924723075,-0.015306250412459308,0.0,2.02,5.36,156.8,-7.68,31.75,-6.25,6.268,1.92,4.24,104.06,-7.89,23.0,0.0,0.0,2.5,16.67,135.97,-3.77,38.5,6.25,0.0,2.02,5.05,88.08,-3.64,31.25,6.25,0.0,2.22,5.46,58.66,-7.7,21.75,12.5,0.0,2.5,11.52,39.77,-3.95,31.75,6.25,0.0,1.82,4.04,-1
1.6400000000000008,57.63054854408338,-3.619999999999999,28.85910059800798,-0.0027331678773432656,0.0,2.02,5.36,158.08,-7.7,32.0,6.25,6.267,1.92,4.24,104.99,-7.89,23.0,0.0,0.0,2.5,16.67,137.5,-3.77,38.5,0.0,6.277,2.02,5.05,89.33,-3.64,31.25,0.0,0.008,2.22,5.46,59.53,-7.7,21.75,0.0,0.011,2.5,11.52,41.04,-3.95,31.75,0.0,0.0,1.82,4.04,-1
1.6800000000000008,58.784912568003705,-3.619999999999999,28.85946694742261,0.009158735365754062,0.0,2.02,5.36,159.35,-7.72,31.75,-6.25,6.275,1.92,4.24,105.91,-7.89,23.0,0.0,0.0,2.5,16.67,139.03,-3.78,38.25,-6.25,0.0,2.02,5.05,90.58,-3.63,31.25,0.0,0.0,2.22,5.46,60.4,-7.69,21.75,0.0,0.012,2.5,11.52,42.31,-3.95,31.75,0.0,0.0,1.82,4.04,-1
1.7200000000000009,59.93929124590061,-3.619999999999999,28.841186671610153,-0.4570068953114884,0.0,2.02,5.36,160.62,-7.73,31.75,0.0,6.267,1.92,4.24,106.82,-7.89,23.0,0.0,0.0,2.5,16.67,140.56,-3.78,38.25,0.0,6.277,2.02,5.05,91.81,-3.63,30.75,-12.5,0.0,2.22,5.46,61.26,-7.68,21.5,-6.25,0.0,2.5,11.52,43.57,-3.95,31.5,-6.25,0.0,1.82,4.04,-1
1.760000000000001,61.09293871276502,-3.619999999999999,28.843149089627314,0.049060450429048594,0.0,2.02,5.36,161.89,-7.75,31.75,0.0,6.267,1.92,4.24,107.75,-7.89,23.0,0.0,0.0,2.5,16.67,142.09,-3.79,38.0,-6.25,0.0,2.02,5.05,93.06,-3.63,31.25,12.5,0.008,2.22,5.46,62.12,-7.68,21.5,0.0,0.011,2.5,11.52,44.83,-3.95,31.5,0.0,0.0,1.82,4.04,-1
1.800000000000001,62.246664676350115,-3.619999999999999,28.84548357679355,0.058362179155926244,0.0,2.02,5.36,163.15,-7.77,31.5,-6.25,6.268,1.92,4.24,108.66,-7.89,23.0,0.0,0.0,2.5,16.67,143.61,-3.79,38.0,0.0,6.277,2.02,5.05,94.31,-3.62,31.25,0.0,0.0,2.22,5.46,62.99,-7.67,21.75,6.25,0.011,2.5,11.52,46.11,-3.95,32.0,12.5,0.0,1.82,4.04,-1
1.840000000000001,63.40048401942185,-3.619999999999999,28.85656944084999,0.2771466014109918,0.0,2.02,5.36,164.43,-7.79,32.0,12.5,6.267,1.92,4.24,109.59,-7.89,23.25,6.25,6.272,2.5,16.67,145.18,-3.8,39.25,31.25,0.0,2.02,5.05,95.57,-3.62,31.5,6.25,0.0,2.22,5.46,63.87,-7.66,22.0,6.25,0.0,2.5,11.52,47.39,-3.95,32.0,0.0,0.0,1.82,4.04,-1
1.880000000000001,64.55474679705586,-3.619999999999999,28.867649431212403,0.2769997590602609,0.0,2.02,5.36,165.69,-7.81,31.5,-12.5,6.275,1.92,4.24,110.53,-7.9,23.25,0.0,0.0,2.5,16.67,146.74,-3.8,39.0,-6.25,6.277,2.02,5.05,96.83,-3.62,31.5,0.0,0.0,2.22,5.46,64.76,-7.66,22.25,6.25,0.011,2.5,11.52,48.67,-3.95,32.0,0.0,0.0,1.82,4.04,-1
1.920000000000001,65.70945277430435,-3.619999999999999,28.870388724004542,0.06848231980349816,0.0,2.02,5.36,166.96,-7.82,31.75,6.25,6.267,1.92,4.24,111.44,-7.9,22.75,-12.5,0.0,2.5,16.67,148.3,-3.81,39.0,0.0,0.0,2.02,5.05,98.08,-3.62,31.25,-6.25,0.008,2.22,5.46,65.64,-7.65,22.0,-6.25,0.011,2.5,11.52,49.94,-3.95,31.75,-6.25,0.0,1.82,4.04,-1
1.960000000000001,66.86426832326454,-3.619999999999999,28.87345148575427,0.07656904374322387,0.0,2.02,5.36,168.23,-7.84,31.75,0.0,6.267,1.92,4.24,112.35,-7.9,23.0,6.25,6.272,2.5,16.67,149.86,-3.81,39.0,0.0,6.277,2.02,5.05,99.33,-3.61,31.25,0.0,0.0,2.22,5.46,66.51,-7.64,21.75,-6.25,0.011,2.5,11.52,51.19,-3.95,31.25,-12.5,0.0,1.82,4.04,-1
2.000000000000001,68.0192063826947,-3.619999999999999,28.876820594566087,0.08422772029539793,0.0,2.02,5.36,169.5,-7.86,31.75,0.0,6.275,1.92,4.24,113.28,-7.91,23.0,0.0,0.0,2.5,16.67,151.43,-3.82,39.25,6.25,0.0,2.02,5.05,100.58,-3.61,31.25,0.0,0.0,2.22,5.46,67.38,-7.63,21.75,0.0,0.0,2.5,11.52,52.45,-3.95,31.5,6.25,0.0,1.82,4.04,-1
2.040000000000001,69.17427920647735,-3.619999999999999,28.888664788172264,0.29610484015443983,0.0,2.02,5.36,170.76,-7.87,31.5,-6.25,6.267,1.92,4.24,114.19,-7.91,23.0,0.0,0.0,2.5,16.67,153.0,-3.82,39.25,0.0,0.0,2.02,5.05,101.84,-3.61,31.5,6.25,0.0,2.22,5.46,68.26,-7.63,22.0,6.25,0.011,2.5,11.52,53.71,-3.95,31.5,0.0,0.0,1.82,4.04,-1
2.080000000000001,70.32982579800424,-3.619999999999999,28.89230815514212,0.09108417424642169,0.0,2.02,5.36,172.03,-7.89,31.75,6.25,6.267,1.92,4.24,115.12,-7.91,23.0,0.0,6.272,2.5,16.67,154.56,-3.82,39.25,0.0,0.0,2.02,5.05,103.09,-3.61,31.25,-6.25,0.008,2.22,5.46,69.13,-7.62,21.75,-6.25,0.011,2.5,11.52,54.97,-3.95,31.5,0.0,0.0,1.82,4.04,-1
2.120000000000001,71.48551812420992,-3.619999999999999,28.896223513618743,0.09788396191554859,0.0,2.02,5.36,173.3,-7.91,31.75,0.0,6.275,1.92,4.24,116.04,-7.92,23.25,6.25,0.0,2.5,16.67,156.12,-3.82,39.0,-6.25,6.277,2.02,5.05,104.34,-3.6,31.25,0.0,0.0,2.22,5.46,70.0,-7.61,21.75,0.0,0.0,2.5,11.52,56.23,-3.95,31.5,0.0,0.0,1.82,4.04,-1
2.160000000000001,72.64136706475466,-3.619999999999999,28.900396529378764,0.10432539400052608,0.0,2.02,5.36,174.56,-7.92,31.5,-6.25,6.275,1.92,4.24,116.97,-7.92,23.0,-6.25,6.273,2.5,16.67,157.69,-3.83,39.0,0.0,0.0,2.02,5.05,105.59,-3.6,31.25,0.0,0.0,2.22,5.46,70.89,-7.61,22.25,12.5,0.011,2.5,11.52,57.48,-3.95,31.25,-6.25,0.0,1.82,4.04,-1
2.200000000000001,73.79738292592981,-3.619999999999999,28.904813612143414,0.11042706911628679,0.0,2.02,5.36,175.83,-7.93,31.75,6.25,6.267,1.92,4.24,117.91,-7.93,23.5,12.5,0.0,2.5,16.67,159.25,-3.83,39.25,6.25,0.0,2.02,5.05,106.84,-3.6,31.25,0.0,0.0,2.22,5.46,71.78,-7.6,22.25,0.0,0.011,2.5,11.52,58.74,-3.95,31.5,6.25,0.0,1.82,4.04,-1
2.240000000000001,74.95357547041554,-3.619999999999999,28.917442350414987,0.31571845678935095,0.0,2.02,5.36,177.1,-7.95,31.75,0.0,6.275,1.92,4.24,118.82,-7.93,23.0,-12.5,6.272,2.5,16.67,160.84,-3.83,39.5,6.25,0.0,2.02,5.05,108.1,-3.6,31.5,6.25,0.0,2.22,5.46,72.66,-7.59,22.0,-6.25,0.0,2.5,11.52,60.0,-3.95,31.5,0.0,0.0,1.82,4.04,-1
2.280000000000001,76.11027316443214,-3.619999999999999,28.92203284723233,0.11476242043356674,0.0,2.02,5.36,178.37,-7.96,31.75,0.0,6.268,1.92,4.24,119.75,-7.94,23.25,6.25,0.0,2.5,16.67,162.41,-3.83,39.25,-6.25,6.277,2.02,5.05,109.35,-3.6,31.25,-6.25,0.0,2.22,5.46,73.55,-7.59,22.25,6.25,0.011,2.5,11.52,61.26,-3.95,31.5,0.0,0.0,1.82,4.04,-1
